,title,keywords,url,,,,,good
3754,John Delaney - These are My Friends,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=Ts2l9VoikaQ,,,,,
3755,"""Dirty Word""",john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=olJ-FSClBdo,,,,,
3756,Rep. Delaney Infrastructure Week Speech Part 1,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=Rm1p04nAd_8,,,,,
3757,John K. Delaney on CNN's New Day,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=KJ03P1ubD6g,,,,,
3758,How presidential hopeful Rep. John Delaney says he plans to unite a divided nation,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=1n7QFKH81FA,,,,,
3759,"""Jobs""",john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=8kkOBw_szAE,,,,,
3760,CCL 2018: Closing Keynote Session with Rep. John Delaney,john+k+delaney+campaign+speech,https://www.youtube.com/watch?v=mH0q5FFCKs4,,,,,
4304,Rep. Luetkemeyer  on whether President Trump should break up the big banks,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=5ZuoJImXHE4,,,,,
4305,If Trump keeps the pressure on he will win this trade war: Rep. Luetkemeyer,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=_EVPEoTxo74,,,,,
4306,My House Floor Speech on the Economic Stimulus Debate,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=Xsopa0QeCE4,,,,,
4307,Luetkemeyer: I'll have enough money,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=MyhiR70LrQQ,,,,,
4308,Luetkemeyer House Floor Speech Asks Where are the Jobs?,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=4phM53PNfnQ,,,,,
4309,Rep. Blaine Luetkemeyer (MO-9) Supports Official English,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=t97lBUkH57w,,,,,x
4310,Blaine Luetkemeyer,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/user/BLuetkemeyer,,,,,
4311,Blaine Luetkemeyer,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=zjAmcZ0cl6o,,,,,
4312,Blaine Luetkemeyer speaks in CoMo,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=C8CNGGBZs7o,,,,,
4313,Luetkemeyer Floor Speech Focuses on Health Care,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=eVy3-ut61Yg,,,,,
4314,Luetkemeyer Floor Speech Focuses on Pelosis Health Care Bill,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=9R2Ppt10FYY,,,,,
4315,Rep. Luetkemeyer on Key Issues for Financial Services Committee,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=LrTRyhykYaA,,,,,
4316,Luetkemeyer Takes to the House Floor to Share Concerns of His Constituents,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=9ltopQXG7i8,,,,,
4317,Blaine Buzz Episode 17,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=N9jGyELIu94,,,,,
4318,Luetkemeyer runs in the Ninth,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=SBO_hkIfzo8,,,,,
4319,Luetkemeyer's Speech Draws on Concerns of Hard-Working Missourians to Expose Flawed Health Care Plan,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=R7rOQ5_fTKg,,,,,
4320,Q & A with 9th District Republican Blaine Leutkemeyer,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=uxVwUH8rx5Q,,,,,
4321,Luetkemeyer Questioning Witnesses During Investigation into Operation Choke Point,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=HMIFzMNuYkg,,,,,
4322,Operation Choke Point,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=ee6sGTxb74g,,,,,
4323,Blaine Buzz 149-Second Amendment and Conceal and Carry in Missouri,w.+blaine+luetkemeyer+campaign+speech,https://www.youtube.com/watch?v=6jB57gRVRPk,,,,,
5209,How to Win your Student Council Election,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=EwVXDP92dXs,,,,,
5210,The Greatest Highschool Presidential Speech Ever - Subtitled [HD] Daniel Thompson,mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=InklGsjyxwo,,,,,
5211,"Mark Amodei Wants to ""Cozy Up"" to Paul Ryan, Give Him ""Whatever Support He Needs""",mark+eugene+amodei+campaign+speech,https://www.youtube.com/watch?v=ANn-OBSJTqg,,,,,
